Name,PA,HR,SB,OBP,ISO,wRC+,Position
Jose Ramirez,558,31,24,0.35483871,0.27122153,136.2382334,3B
Jeimer Candelario,596,15,0,0.34899329,0.17196261,118.4602372,3B
Ryan McMahon,407,16,5,0.34889435,0.20338983,104.3875883,3B
Matt Chapman,620,27,3,0.31290323,0.19354839,100.2743514,3B
Yoan Moncada,590,13,3,0.37627119,0.14486921,121.3906334,3B
Rafael Devers,646,38,5,0.35603715,0.26527051,136.813718,3B
Austin Riley,640,33,0,0.3734375,0.23374341,140.1438589,3B
David Peralta,513,8,2,0.31384016,0.14592275,87.70569865,LF
Tommy Pham,469,14,12,0.34328358,0.17258883,106.3319034,LF
Andrew McCutchen,558,25,6,0.33691756,0.21581197,107.2224504,LF
Mark Canha,414,10,9,0.35024155,0.13753582,108.2686485,LF
Christian Yelich,446,9,7,0.36995516,0.13297873,106.9491229,LF
Jesse Winker,447,24,1,0.40044743,0.26598465,155.6384117,LF
Raimel Tapia,500,6,20,0.3246493,0.10043669,76.00629362,LF
Dominic Smith,427,10,2,0.30210773,0.11886305,85.18050715,LF
Tyler O'Neill,527,34,15,0.35673624,0.27966101,148.131166,LF
Andrew Benintendi,533,17,8,0.32706767,0.16803279,108.1041804,LF
Lourdes Gurriel Jr.,456,18,1,0.33846154,0.19668246,121.4966778,LF
Starling Marte,525,12,47,0.37977099,0.1477516,132.4398552,CF
Odubel Herrera,411,10,5,0.29339853,0.14814814,82.434276,CF
Michael A. Taylor,522,12,14,0.29615385,0.11297072,77.38789218,CF
Myles Straw,636,4,30,0.3496063,0.07651246,98.25419677,CF
Cedric Mullins,653,29,30,0.359447,0.22813036,136.4910573,CF
Harrison Bader,401,16,9,0.32418953,0.19346049,109.9618874,CF
Trent Grisham,515,15,13,0.3307393,0.17294901,105.3497158,CF
Bryan Reynolds,560,23,5,0.39107143,0.23966942,146.3159512,CF
Avisail Garcia,496,29,8,0.32056452,0.23385301,112.5458549,RF
Charlie Blackmon,562,13,3,0.34875445,0.14486921,94.36423481,RF
Wil Myers,434,14,7,0.33410138,0.17447917,108.4005087,RF
Bryce Harper,590,35,13,0.42857143,0.30769231,170.2190335,RF
Nick Castellanos,579,34,3,0.3626943,0.26857143,140.5848665,RF
Teoscar Hernandez,446,25,9,0.36017897,0.23170732,140.0001839,RF
Mookie Betts,407,13,7,0.36363636,0.19308357,123.2048437,RF
Jorge Soler,400,17,0,0.30808081,0.20630373,96.16997595,RF
Mitch Haniger,540,31,1,0.31666667,0.23298969,119.4834224,RF
Mike Yastrzemski,408,18,2,0.31695332,0.23098592,107.3789216,RF
Hunter Renfroe,544,29,1,0.31801471,0.24193549,116.3848255,RF
Aaron Judge,453,30,4,0.38852097,0.27480916,161.9072225,RF
Michael Conforto,465,13,1,0.34193548,0.14646465,104.6172002,RF
Kyle Tucker,531,27,12,0.34782609,0.25,139.9614711,RF
Juan Soto,640,28,9,0.4703125,0.22085889,164.9511896,RF
